rank,zone_id,zone_name,latitude,longitude,zone_type,ev_count_estimate,demand_growth_rate,traffic_score,existing_chargers,charger_gap_score,charger_coverage_level,spare_capacity_kw,grid_health_score,grid_capacity_status,avg_risk_score,overloaded_hours_count,infrastructure_need_score,grid_feasibility_score,station_priority_score,grid_feasibility_label,recommended_station_type,recommended_chargers,planning_priority,capital_planning_flag,recommendation_reason
1,Z007,Hebbal,13.0358,77.597,mixed,6348,0.299,95,1,6348.0,Low Coverage,528,30.33,Healthy,83.12,6,0.8678,0.8381,85.89,High Feasibility,Fast Charging Hub,3,Very High,Invest Now,"Hebbal has an EV count estimate of 6348, 29.9% demand growth, 1 existing chargers, high feasibility, and 6 overloaded hours. It is recommended as a Fast Charging Hub because demand, charger gap, and spare grid capacity are all strong."
2,Z011,Marathahalli,12.9591,77.6974,mixed,5029,0.315,94,0,5029.0,No Coverage,652,30.87,Healthy,75.82,4,0.6912,0.9701,77.49,High Feasibility,Fast Charging Hub,3,High,Invest Now,"Marathahalli has an EV count estimate of 5029, 31.5% demand growth, 0 existing chargers, high feasibility, and 4 overloaded hours. It is recommended as a Fast Charging Hub because demand, charger gap, and spare grid capacity are all strong."
3,Z016,Sarjapur Road,12.9081,77.6812,mixed,6622,0.377,90,1,6622.0,Low Coverage,208,14.58,Constrained,85.82,8,0.9632,0.2242,74.15,Moderate Feasibility,Mixed AC/DC Station,2,High,Invest Now,"Sarjapur Road has an EV count estimate of 6622, 37.7% demand growth, 1 existing chargers, moderate feasibility, and 8 overloaded hours. A Mixed AC/DC Station balances demand growth with available grid capacity."
4,Z019,Bellandur,12.9358,77.6788,mixed,5170,0.328,93,0,5170.0,No Coverage,422,24.51,Moderate,80.79,6,0.759,0.6233,71.83,High Feasibility,Mixed AC/DC Station,2,High,Invest Now,"Bellandur has an EV count estimate of 5170, 32.8% demand growth, 0 existing chargers, high feasibility, and 6 overloaded hours. A Mixed AC/DC Station balances demand growth with available grid capacity."
5,Z002,Indiranagar,12.9719,77.6412,residential,6123,0.284,85,4,1530.75,Low Coverage,518,32.44,Healthy,79.78,6,0.6212,0.8684,69.54,High Feasibility,Mixed AC/DC Station,2,High,Invest Now,"Indiranagar has an EV count estimate of 6123, 28.4% demand growth, 4 existing chargers, high feasibility, and 6 overloaded hours. A Mixed AC/DC Station balances demand growth with available grid capacity."
6,Z013,HSR Layout,12.9116,77.6473,residential,6651,0.223,84,9,739.0,Medium Coverage,454,26.23,Moderate,83.5,6,0.5963,0.6874,62.36,High Feasibility,Mixed AC/DC Station,2,Medium,Monitor Demand,"HSR Layout has an EV count estimate of 6651, 22.3% demand growth, 9 existing chargers, high feasibility, and 6 overloaded hours. A Mixed AC/DC Station balances demand growth with available grid capacity."
7,Z020,Kengeri,12.9087,77.4871,residential,4933,0.194,68,2,2466.5,Low Coverage,507,31.2,Healthy,76.76,6,0.4053,0.834,53.39,High Feasibility,Slow/AC Charging Station,1,Medium,Monitor Demand,"Kengeri has an EV count estimate of 4933, 19.4% demand growth, 2 existing chargers, high feasibility, and 6 overloaded hours. A Slow/AC Charging Station is recommended to add coverage without stressing the local transformer."
8,Z003,Koramangala,12.9352,77.6245,mixed,4428,0.317,88,0,4428.0,No Coverage,212,11.57,Constrained,82.58,6,0.6654,0.1709,51.7,Low Feasibility,Slow/AC Charging Station,1,Medium,Monitor Demand,"Koramangala has an EV count estimate of 4428, 31.7% demand growth, 0 existing chargers, low feasibility, and 6 overloaded hours. A Slow/AC Charging Station is recommended to add coverage without stressing the local transformer."
9,Z006,Jayanagar,12.925,77.5938,residential,5653,0.23,75,7,807.57,Medium Coverage,284,23.01,Moderate,86.38,6,0.5103,0.4592,49.5,Moderate Feasibility,Slow/AC Charging Station,1,Low,Monitor Demand,"Jayanagar has an EV count estimate of 5653, 23.0% demand growth, 7 existing chargers, moderate feasibility, and 6 overloaded hours. A Slow/AC Charging Station is recommended to add coverage without stressing the local transformer."
10,Z001,Whitefield,12.9698,77.75,mixed,4770,0.324,90,2,2385.0,Low Coverage,126,9.64,Constrained,86.12,7,0.6685,0.0497,48.29,Low Feasibility,Slow/AC Charging Station,1,Low,Monitor Demand,"Whitefield has an EV count estimate of 4770, 32.4% demand growth, 2 existing chargers, low feasibility, and 7 overloaded hours. A Slow/AC Charging Station is recommended to add coverage without stressing the local transformer."
